FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
182,"照","illuminate",2017-04-19 10:58:33,2017-08-02,7,7,25
183,"魚","fish",2017-04-03 10:08:47,2017-11-06,8,1,9
184,"漁","fishing",2017-04-27 12:12:14,2017-08-16,7,4,19
185,"里","ri",2017-04-26 07:36:36,2017-08-30,7,1,15
186,"黒","black",2017-04-03 10:04:16,2017-11-20,8,1,10
187,"墨","black ink",2017-03-14 10:25:37,2017-07-25,7,2,19
188,"鯉","carp",2017-04-03 10:04:16,2017-11-14,8,1,9
189,"量","quantity",2017-03-14 09:25:03,2017-07-13,7,3,20
190,"厘","rin",2017-04-18 17:43:31,2017-08-04,7,6,28
191,"埋","bury",2017-05-14 19:00:55,2017-09-24,7,3,24
192,"同","same",2017-05-27 22:39:03,2017-10-05,7,3,15
193,"洞","den",2017-03-19 11:38:56,2017-10-27,8,2,15
194,"胴","trunk",2017-06-05 21:22:45,2017-06-17,4,9,29
195,"向","yonder",2017-04-09 10:59:41,2017-11-11,8,1,10
196,"尚","esteem",2017-06-02 11:22:44,2017-06-15,4,15,48
197,"字","character",2017-05-07 22:38:57,2017-06-26,6,6,27
198,"守","guard",2017-04-26 07:46:26,2017-08-17,7,4,24
199,"完","perfect",2017-03-14 10:32:05,2017-07-12,7,3,20
200,"宣","proclaim",2017-03-14 10:34:36,2017-07-03,7,4,28
201,"宵","wee hours",2017-03-14 09:40:14,2017-06-29,7,5,29
202,"安","relax/cheap",2017-02-24 06:52:03,2017-07-01,7,3,19
203,"宴","banquet",2017-03-03 10:00:49,2017-06-16,7,3,20
204,"寄","draw near",2017-06-06 07:10:59,2017-09-19,7,9,31
205,"富","wealth",2017-05-28 11:30:58,2017-07-27,6,5,25
206,"貯","savings",2017-05-29 12:55:13,2017-06-15,4,14,39
207,"木","tree",2016-11-25 09:24:56,2017-12-06,8,0,9
208,"林","grove",2017-04-09 11:07:22,2017-07-31,7,1,15
209,"森","forest",2017-03-14 10:37:13,2017-07-01,7,1,14
210,"桂","Japanese Judas-tree",2017-03-28 09:10:32,2017-07-27,7,3,24
211,"柏","oak",2017-03-14 10:07:12,2017-11-03,8,1,9
212,"枠","frame",2017-04-03 10:26:53,2017-08-07,7,2,19
213,"梢","treetops",2017-03-28 08:49:43,2017-07-11,7,4,27
214,"棚","shelf",2017-03-21 10:01:46,2017-07-27,7,4,24
215,"杏","apricot",2017-04-18 17:52:59,2017-08-30,7,5,22
216,"桐","paulownia",2017-06-04 11:14:25,2017-08-02,6,6,20
217,"植","plant",2017-03-14 09:25:03,2017-06-29,7,4,25
218,"椅","chair",2017-01-13 07:11:47,2017-07-15,7,2,13
219,"枯","wither",2017-04-03 10:06:44,2017-12-13,8,3,15
220,"朴","crude",2017-04-03 10:10:28,2017-11-04,8,4,22
221,"村","village",2017-05-30 16:50:49,2017-07-29,6,7,24
222,"相","inter-",2017-05-03 07:12:11,2017-09-04,7,1,15
223,"机","desk",2017-02-15 09:36:13,2017-06-24,7,2,14
224,"本","book",2017-05-14 09:12:41,2017-11-16,7,1,14
225,"札","tag",2017-04-03 10:08:47,2018-03-21,8,2,14
226,"暦","calendar",2017-04-09 10:59:41,2017-12-24,8,4,23
227,"案","plan",2017-06-03 17:20:21,2017-06-30,5,9,34
228,"燥","parch",2017-05-15 14:44:12,2017-07-13,6,8,28
229,"未","not yet",2017-05-15 14:26:42,2017-11-10,7,2,17
230,"末","extremity",2017-05-14 09:17:26,2017-11-11,7,2,18
231,"昧","obscure",2017-06-03 06:18:49,2017-07-03,5,15,37
232,"沫","splash",2017-04-27 07:09:16,2017-08-15,7,4,24
233,"味","flavor",2017-05-29 13:57:13,2017-08-04,6,10,35
234,"妹","younger sister",2017-04-09 10:31:29,2017-08-09,7,1,14
235,"朱","vermilion",2017-06-04 11:14:25,2017-10-12,7,3,15
236,"株","stocks",2017-03-14 09:30:34,2017-11-15,8,2,15
237,"若","young",2017-04-20 20:44:15,2017-08-07,7,4,24
238,"草","grass",2017-05-04 07:10:29,2017-06-24,6,5,23
239,"苦","suffering",2017-04-03 10:22:20,2017-08-16,7,3,20
240,"苛","bullying",2017-03-14 09:47:42,2017-06-27,7,11,28
241,"寛","tolerant",2017-02-15 09:37:40,2017-06-11,7,5,26
242,"薄","dilute",2017-06-03 17:32:09,2017-06-16,4,16,41
243,"葉","leaf",2017-05-28 12:28:23,2017-07-26,6,7,30
244,"模","imitation",2017-02-28 20:23:48,2017-07-07,7,2,20
245,"漠","vague",2017-03-28 09:23:44,2017-07-18,7,5,24
246,"墓","grave",2017-06-04 21:47:01,2017-06-18,4,10,33
